,gene
408,CEP55
409,CEP78
410,CERK
411,CFD
412,CFL1
413,CFLAR
414,CFP
415,CHAF1A
416,CHCHD2
417,CHD6
418,CHEK1
419,CHI3L1
420,CHIT1
421,CHKA
422,CHMP4C
423,CHMP7
424,CHPF
425,CHPT1
426,CHRM3
427,CHRM3-AS2
428,CHST12
429,CHST2
430,CIB2
431,CIITA
432,CISD1
433,CISH
434,CIT
435,CITED4
436,CKAP2L
437,CKAP4
438,CKB
439,CKS1B
440,CLC
441,CLCN5
442,CLDN5
443,CLDND1
444,CLEC10A
445,CLEC11A
446,CLEC12A
447,CLEC17A
448,CLEC1B
449,CLEC2D
450,CLEC4C
451,CLEC4D
452,CLEC4E
453,CLEC4F
454,CLEC4OP
455,CLEC5A
456,CLEC7A
457,CLEC9A
458,CLIC2
459,CLIC3
460,CLIC4
461,CLINT1
462,CLIP2
463,CLMN
464,CLNK
465,CLPB
466,CLSPN
467,CLTCL1
468,CLU
469,CMBL
470,CMC1
471,CMKLR1
472,CMTM2
473,CMTM5
474,CNKSR3
475,CNN2
476,CNP
477,CNR2
478,CNRIP1
479,CNST
480,CNTNAP2
481,CNTNAP3
482,COBLL1
483,COL17A1
484,COL24A1
485,COL26A1
486,COL6A2
487,COL9A2
488,COLQ
489,CORO1A
490,CORO2A
491,CORO6
492,COTL1
493,COX8A
494,CPA3
495,CPED1
496,CPM
497,CPNE2
498,CPNE3
499,CPNE5
500,CPPED1
501,CPVL
502,CPXM1
503,CR1
504,CRACD
505,CRACR2B
506,CRAT
507,CREB3L4
508,CREB5
509,CREG1
510,CRELD2
511,CRHBP
512,CRIP1
513,CRIP2
514,CRIP3
515,CRISP3
516,CRMA
517,CRPPA
518,CRTAM
519,CRTAP
520,CRYGD
521,CRYM
522,CSF1
523,CSF1R
524,CSF2
525,CSF2RB
526,CSF3R
527,CST3
528,CST7
529,CSTA
530,CSTB
531,CTDSPL
532,CTLA4
533,CTNNAL1
534,CTNNBL1
535,CTSA
536,CTSB
537,CTSD
538,CTSG
539,CTSH
540,CTSL
541,CTSS
542,CTSW
543,CTSZ
544,CTTN
545,CTTNBP2NL
546,CUEDC1
547,CUX1
548,CUX2
549,CX3CR1
550,CXADR
551,CXCL16
552,CXCL5
553,CXCL8
554,CXCR1
555,CXCR2
556,CXCR3
557,CXCR4
558,CXCR5
559,CXCR6
560,CXXC5
561,CYB561
562,CYB561A3
563,CYBA
564,CYBB
565,CYFIP1
566,CYFIP2
567,CYP1B1
568,CYP2S1
569,CYP46A1
570,CYP4F22
571,CYP4F3
572,CYSTM1
573,CYTH3
574,CYTH4
575,CYTL1
576,CYYR1
577,DAAM1
578,DAB2
579,DACH1
580,DAPK1
581,DAZAP1
582,DAZAP2
583,DBI
584,DCAKD
585,DCBLD2
586,DCTN6
587,DDAH2
588,DDIT4
589,DDOST
