,gene
1663,PARM1
1664,PARP15
1665,PARVB
1666,PATL2
1667,PAWR
1668,PAX5
1669,PAXX
1670,PBX1
1671,PBX4
1672,PBXIP1
1673,PCBD2
1674,PCBP1
1675,PCDH9
1676,PCDHGC3
1677,PCED1B
1678,PCED1B-AS1
1679,PCLAF
1680,PCNA
1681,PCOLCE2
1682,PCSK1N
1683,PDCD4
1684,PDE4D
1685,PDE5A
1686,PDGFA
1687,PDGFA-DT
1688,PDGFD
1689,PDIA4
1690,PDIA6
1691,PDLIM1
1692,PDLIM5
1693,PDLIM7
1694,PDRG1
1695,PDXK
1696,PDZK1IP1
1697,PEA15
1698,PEAR1
1699,PECAM1
1700,PELATON
1701,PELI1
1702,PERP
1703,PEX1
1704,PF4
1705,PF4V1
1706,PFKFB2
1707,PFN1
1708,PGAP4
1709,PGD
1710,PGLYRP1
1711,PGRMC1
1712,PHACTR1
1713,PHACTR2
1714,PHC1
1715,PHETA1
1716,PHEX
1717,PHOSPHO1
1718,PI3
1719,PI4K2B
1720,PID1
1721,PIK3AP1
1722,PIK3IP1
1723,PIK3R1
1724,PIK3R6
1725,PILRA
1726,PIM1
1727,PIWIL4
1728,PKIB
1729,PKIG
1730,PKM
1731,PKMYT1
1732,PLA2G12A
1733,PLA2G4B
1734,PLA2G6
1735,PLA2G7
1736,PLAAT2
1737,PLAAT4
1738,PLAC8
1739,PLAGL2
1740,PLBD1
1741,PLCB4
1742,PLCG1
1743,PLCG2
1744,PLCXD1
1745,PLD1
1746,PLD3
1747,PLD4
1748,PLEK
1749,PLEKHA5
1750,PLEKHD1
1751,PLEKHF1
1752,PLEKHG1
1753,PLIN2
1754,PLOD2
1755,PLP2
1756,PLPP5
1757,PLVAP
1758,PLXDC1
1759,PLXNA4
1760,PLXNB2
1761,PLXNC1
1762,PLXND1
1763,PMEPA1
1764,PMM2
1765,PNMT
1766,PNOC
1767,PNP
1768,PNPLA1
1769,PNPLA6
1770,PNRC1
1771,POLE
1772,POLQ
1773,POLR2J2
1774,POLR2M
1775,PON2
1776,POU2AF1
1777,POU2F2
1778,PPBP
1779,PPDPF
1780,PPIA
1781,PPIB
1782,PPIL6
1783,PPM1H
1784,PPM1J
1785,PPM1L
1786,PPM1N
1787,PPME1
1788,PPP1R14A
1789,PPP1R14B
1790,PPP1R14B-AS1
1791,PPP1R17
1792,PPP1R3B
1793,PPP4R3A
1794,PRAM1
1795,PRC1
1796,PRCP
1797,PRDM1
1798,PRDX4
1799,PRF1
1800,PRG2
1801,PRKACB
1802,PRKAR1B
1803,PRKAR2B
1804,PRKCA
1805,PRKCH
1806,PRKCQ-AS1
1807,PRKG2
1808,PRKX
1809,PRNP
1810,PROB1
1811,PROC
1812,PROK2
1813,PROM1
1814,PROS1
1815,PRR5
1816,PRRT4
1817,PRSS2
1818,PRSS23
1819,PRSS30P
1820,PRSS57
1821,PRTN3
1822,PRXL2A
1823,PSAP
1824,PSAT1
1825,PSMD7
1826,PSTPIP2
1827,PTAFR
1828,PTCRA
1829,PTGDR
1830,PTGDR2
1831,PTGDS
1832,PTGER3
1833,PTGIR
1834,PTGS1
1835,PTGS2
1836,PTK2
1837,PTK7
1838,PTMA
1839,PTMS
1840,PTPN7
1841,PTPRC
1842,PTPRM
1843,PTPRN2-AS1
1844,PTPRS
1845,PTTG1
1846,PTX3
1847,PVALB
1848,PVRIG
1849,PXN
1850,PYCARD
1851,PYCR1
1852,PYGL
1853,PYHIN1
1854,QRSL1
1855,R3HCC1
1856,R3HDM4
1857,RAB11FIP1
1858,RAB11FIP5
1859,RAB13
1860,RAB27A
1861,RAB27B
1862,RAB30
1863,RAB31
1864,RAB32
1865,RAB34
1866,RAB44
1867,RAC2
1868,RACK1
1869,RAD51
1870,RAD51AP1
1871,RALGPS2
1872,RAN
1873,RASAL3
1874,RASD1
1875,RASGRP3
1876,RASGRP4
1877,RASSF2
1878,RASSF4
1879,RASSF8
1880,RBBP8
1881,RBL2
1882,RBP7
1883,RBPMS
1884,RCAN3
1885,RECQL4
1886,RESF1
1887,RETN
1888,REXO5
1889,RFLNB
1890,RGCC
1891,RGL4
1892,RGS1
1893,RGS10
1894,RGS12
1895,RGS18
1896,RGS2
1897,RGS6
1898,RGS9
1899,RHEX
1900,RHOA
1901,RHOB
1902,RHOBTB1
1903,RHOC
1904,RHOG
1905,RHOH
1906,RHOU
1907,RHOXF1P1
1908,RIN1
1909,RIN2
1910,RINT1
1911,RIPOR3
1912,RNASE2
1913,RNASE3
1914,RNASE4
1915,RNASE6
1916,RNASEK
1917,RNASET2
1918,RNF103
1919,RNF11
1920,RNF130
1921,RNF149
1922,RNF24
1923,RNH1
1924,ROBO3
1925,ROGDI
1926,RORA
1927,RORC
1928,RPH3A
1929,RPL10
1930,RPL10A
1931,RPL11
1932,RPL12
1933,RPL13
1934,RPL13A
1935,RPL14
1936,RPL15
1937,RPL17
1938,RPL18
1939,RPL18A
1940,RPL19
1941,RPL21
1942,RPL22
1943,RPL23
1944,RPL23A
1945,RPL24
1946,RPL26
1947,RPL27
1948,RPL27A
1949,RPL28
1950,RPL3
1951,RPL30
1952,RPL31
1953,RPL32
1954,RPL34
1955,RPL35
1956,RPL35A
1957,RPL36
1958,RPL36A
1959,RPL37
1960,RPL39
1961,RPL4
1962,RPL41
1963,RPL5
1964,RPL7
1965,RPL7A
1966,RPL8
1967,RPL9
1968,RPLP0
1969,RPLP1
1970,RPLP2
1971,RPS10
1972,RPS11
1973,RPS12
1974,RPS13
1975,RPS14
1976,RPS15
1977,RPS15A
1978,RPS16
1979,RPS17
1980,RPS18
1981,RPS19
1982,RPS2
1983,RPS20
1984,RPS21
1985,RPS23
1986,RPS24
1987,RPS25
1988,RPS26
1989,RPS27
1990,RPS27A
1991,RPS28
1992,RPS29
1993,RPS3
1994,RPS3A
1995,RPS4X
1996,RPS4Y1
1997,RPS5
1998,RPS6
1999,RPS6KA4
2000,RPS6KC1
2001,RPS8
2002,RPSA
2003,RRAS
2004,RRM2
2005,RRS1
2006,RSAD2
2007,RSU1
2008,RTKN2
2009,RTN1
2010,RTN3
2011,RTN4R
2012,RUFY1
2013,RUFY3
2014,RUNX1
2015,RUNX2
2016,RUNX3
2017,RUSC2
2018,RYR1
2019,RYR3
2020,S100A10
2021,S100A11
2022,S100A12
2023,S100A4
2024,S100A6
2025,S100A8
2026,S100A9
2027,S100P
2028,S1PR1
2029,S1PR3
2030,S1PR5
2031,SAMD3
2032,SAMD4A
2033,SAMHD1
2034,SAMSN1
2035,SAT1
2036,SATB1
2037,SBK1
2038,SCAMP5
2039,SCARA5
2040,SCARB1
2041,SCART1
2042,SCCPDH
2043,SCD
2044,SCGB3A2
2045,SCHIP1
2046,SCIMP
2047,SCN3A
2048,SCN9A
2049,SCPEP1
2050,SCRN1
2051,SCT
2052,SDCBP
2053,SDF2L1
2054,SEC11C
2055,SEC14L1
2056,SEC14L5
2057,SEC22A
2058,SEC61B
2059,SECTM1
2060,SEL1L3
2061,SELL
2062,SELP
2063,SELPLG
2064,SEMA3C
2065,SEMA4A
2066,SEMA7A
2067,SEPTIN1
2068,SEPTIN5
2069,SEPTIN6
2070,SERPINA1
2071,SERPINB1
2072,SERPINB10
2073,SERPINB9P1
2074,SERPINE2
2075,SERPINF1
2076,SERPINF2
2077,SESN1
2078,SESN3
2079,SET
2080,SEZ6L
2081,SF3B1
2082,SFT2D2
2083,SFXN1
2084,SGK1
2085,SGMS2
2086,SGO1
2087,SGPP1
2088,SH2D1A
2089,SH2D1B
2090,SH2D2A
2091,SH3BGRL2
2092,SH3BGRL3
2093,SH3BP4
2094,SH3D21
2095,SH3TC1
2096,SH3TC2
2097,SHANK3
2098,SHCBP1
2099,SHD
2100,SHROOM1
2101,SHTN1
2102,SIDT2
2103,SIGLEC1
2104,SIGLEC10
2105,SIGLEC6
2106,SIGLEC8
2107,SIGLEC9
2108,SIRPA
2109,SIRPB1
2110,SIRPB2
2111,SIRPG
2112,SIT1
2113,SKAP1
2114,SLAMF1
2115,SLAMF6
2116,SLAMF7
2117,SLAMF8
2118,SLBP
2119,SLC10A3
2120,SLC11A1
2121,SLC12A3
2122,SLC17A9
2123,SLC18A2
2124,SLC18A2-AS1
2125,SLC1A4
2126,SLC1A5
2127,SLC22A15
2128,SLC24A3
2129,SLC25A27
2130,SLC25A30
2131,SLC25A37
2132,SLC25A4
2133,SLC25A5
2134,SLC25A6
2135,SLC27A2
2136,SLC28A3
2137,SLC29A1
2138,SLC2A10
2139,SLC2A5
2140,SLC2A6
2141,SLC2A9
2142,SLC35F1
2143,SLC35F3
2144,SLC36A4
2145,SLC38A1
2146,SLC39A13-AS1
2147,SLC39A3
2148,SLC40A1
2149,SLC41A2
2150,SLC44A1
2151,SLC45A3
2152,SLC46A2
2153,SLC4A10
2154,SLC4A3
2155,SLC6A4
2156,SLC7A11
2157,SLC7A5
2158,SLC7A6
2159,SLC7A7
2160,SLC8A3
2161,SLC9A7
2162,SLFN12L
2163,SLFN13
2164,SLFN14
2165,SLFN5
2166,SLPI
2167,SLX9
2168,SMAD3
2169,SMANTIS
2170,SMAP2
2171,SMARCD3
2172,SMCHD1
2173,SMIM10
2174,SMIM24
2175,SMIM3
2176,SMIM5
2177,SMOC1
2178,SMOX
2179,SMPD3
2180,SMPDL3A
2181,SNAPC4
2182,SNAPC5
2183,SNCA
2184,SND1
2185,SNHG11
2186,SNHG29
2187,SNHG31
2188,SNHG7
2189,SNN
2190,SNRNP25
2191,SNRPD2
2192,SNX10-AS1
2193,SNX22
2194,SOCS1
2195,SOCS2
2196,SOD1
2197,SOD2
2198,SON
2199,SORCS2
2200,SORD
2201,SORL1
2202,SORT1
2203,SOX12
2204,SOX4
2205,SOX5
2206,SPAG5
2207,SPARC
2208,SPATS2
2209,SPATS2L
2210,SPC24
2211,SPC25
2212,SPCS1
2213,SPCS2
2214,SPECC1
2215,SPEG
2216,SPI1
2217,SPIB
2218,SPIN1
2219,SPINK2
2220,SPINT2
2221,SPN
2222,SPNS2
2223,SPNS3
2224,SPOCD1
2225,SPOCK2
2226,SPON1
2227,SPON2
2228,SPRED1
2229,SPSB2
2230,SPTA1
2231,SPTB
2232,SPTBN2
2233,SRC
2234,SRGAP3
2235,SRGN
2236,SSPN
2237,SSR3
2238,SSR4
2239,SSX2IP
2240,ST14
2241,ST6GALNAC4
2242,ST8SIA1
2243,ST8SIA6
2244,STAB1
2245,STAC3
2246,STAM
2247,STAP1
2248,STARD8
2249,STAT3
2250,STAT5A
2251,STBD1
2252,STEAP4
2253,STK32B
2254,STMN1
2255,STMN3
2256,STMP1
2257,STN1
2258,STOM
2259,STON2
2260,STOX2
2261,STRBP
2262,STT3A
2263,STX18-AS1
2264,STX3
2265,STXBP2
2266,STXBP5
2267,STXBP6
2268,SUB1
2269,SULF2
2270,SUN2
2271,SUSD3
2272,SVOPL
2273,SWAP70
2274,SYK
2275,SYNE1
2276,SYNE2
2277,SYNGR1
2278,SYNPO
2279,SYT17
2280,SYTL2
2281,SYTL3
2282,TACSTD2
2283,TAF4
2284,TAFA2
2285,TAGLN
2286,TAGLN2
2287,TAL1
2288,TALDO1
2289,TAMALIN
2290,TARBP1
2291,TARP
2292,TARS3
2293,TBC1D2
2294,TBC1D4
2295,TBC1D8
2296,TBC1D9
2297,TBX21
2298,TC2N
2299,TCF19
2300,TCF4
2301,TCF7
2302,TCF7L2
2303,TCL1A
2304,TCN1
2305,TDRP
2306,TEC
2307,TECPR2
2308,TENT5A
2309,TENT5C
2310,TESC
2311,TESMIN
2312,TESPA1
2313,TEX30
2314,TFDP2
2315,TFEC
2316,TFF3
2317,TFPI
2318,TFPT
2319,TFR2
2320,TFRC
2321,TGFB1
2322,TGFBI
2323,TGFBR1
2324,TGFBR2
2325,TGFBR3
2326,THBS1
2327,THEM4
2328,THEMIS
2329,THEMIS2
2330,THSD7A
2331,THYN1
2332,TIE1
2333,TIFAB
2334,TIGIT
2335,TIMP1
2336,TIMP3
2337,TK1
2338,TKT
2339,TKTL1
2340,TLCD5
2341,TLE5
2342,TLK1
2343,TLN1
2344,TLR1
2345,TLR10
2346,TLR3
2347,TLR4
2348,TLR7
2349,TLR8
2350,TLR9
2351,TMC8
2352,TMEM109
2353,TMEM131
2354,TMEM14C
2355,TMEM150B
2356,TMEM154
2357,TMEM156
2358,TMEM158
2359,TMEM164
2360,TMEM170B
2361,TMEM171
2362,TMEM176A
2363,TMEM176B
2364,TMEM204
2365,TMEM273
2366,TMEM30B
2367,TMEM38A
2368,TMEM40
2369,TMEM63A
2370,TMEM63C
2371,TMEM79
2372,TMEM8B
2373,TMEM98
2374,TMSB10
2375,TMSB4X
2376,TMTC1
2377,TNFAIP2
2378,TNFAIP3
2379,TNFAIP6
2380,TNFRSF10A-DT
2381,TNFRSF10C
2382,TNFRSF13B
2383,TNFRSF13C
2384,TNFRSF17
2385,TNFRSF18
2386,TNFRSF1B
2387,TNFRSF21
2388,TNFRSF25
2389,TNFRSF4
2390,TNFRSF8
2391,TNFSF10
2392,TNFSF13
2393,TNFSF13B
2394,TNFSF4
2395,TNNC2
2396,TNNI2
2397,TNNT3
2398,TNS3
2399,TOP2A
2400,TOX
2401,TP53INP1
2402,TPI1
2403,TPM1
2404,TPM2
2405,TPM3
2406,TPM4
2407,TPPP3
2408,TPSAB1
2409,TPSB2
2410,TPSD1
2411,TPT1
2412,TPX2
2413,TRABD2A
2414,TRAF1
2415,TRAF3IP3
2416,TRAF4
2417,TRAF5
2418,TRAM2
2419,TRAPPC3L
2420,TRAT1
2421,TRAV1-2
2422,TRAV24
2423,TRBV11-2
2424,TRBV28
2425,TRD-AS1
2426,TRDC
2427,TRDV2
2428,TREM1
2429,TREML1
2430,TRG-AS1
2431,TRGC1
2432,TRGC2
2433,TRGV9
2434,TRIB2
2435,TRIM47
2436,TRIM58
2437,TRO
2438,TROAP
2439,TRPM2
2440,TRPM6
2441,TSC22D1
2442,TSC22D3
2443,TSEN54
2444,TSPAN13
2445,TSPAN3
2446,TSPAN33
2447,TSPAN4
2448,TSPAN9
2449,TSPO
2450,TSPOAP1
2451,TTC16
2452,TTC24
2453,TTC38
2454,TTC39A
2455,TTC5
2456,TTC7A
2457,TTLL1
2458,TTLL7
2459,TTN-AS1
2460,TTTY14
2461,TTYH2
2462,TTYH3
2463,TUBA1A
2464,TUBA1B
2465,TUBA1C
2466,TUBA4A
2467,TUBA8
2468,TUBB
2469,TUBB1
2470,TUBB6
2471,TUBD1
2472,TXK
2473,TXN
2474,TXNDC11
2475,TXNDC5
2476,TXNIP
2477,TYMP
2478,TYMS
2479,TYROBP
2480,UAP1L1
2481,UBA52
2482,UBASH3A
2483,UBB
2484,UBC
2485,UBE2C
2486,UBE2J1
2487,UBE2S
2488,UBE2T
2489,UBR7
2490,UBXN11
2491,UCA1
2492,UGCG
2493,UHRF1
2494,UICLM
2495,UNC93B1
2496,UPK3A
2497,UQCC5
2498,UQCRB
2499,USP15
2500,USP48
2501,USP49
2502,USP6NL
2503,UTP20
2504,UTP4
2505,VAMP8
2506,VASH1
2507,VASP
2508,VAT1
2509,VCAN
2510,VCL
2511,VEGFB
2512,VIL1
2513,VIM
2514,VMO1
2515,VMP1
2516,VNN1
2517,VNN2
2518,VPREB1
2519,VPREB3
2520,VSIR
2521,VSTM1
2522,WARS1
2523,WAS
2524,WDCP
2525,WDFY4
2526,WDHD1
2527,WDR11-DT
2528,WDR70
2529,WIPF1
2530,WIPI1
2531,WNT10A
2532,XBP1
2533,XCL1
2534,XCL2
2535,XIST
2536,XPO6
2537,YBX1
2538,YBX3
2539,YPEL1
2540,YPEL3
2541,YWHAE
2542,YWHAH
2543,YWHAQ
2544,ZAP70
2545,ZBED3
2546,ZBTB16
2547,ZBTB38
2548,ZBTB7B
2549,ZBTB8A
2550,ZC2HC1A
2551,ZC3HAV1L
2552,ZDBF2
2553,ZDHHC18
2554,ZFAS1
2555,ZFAT
2556,ZFHX3
2557,ZFP36
2558,ZFP36L1
2559,ZFP36L2
2560,ZMYND15
2561,ZNF135
2562,ZNF185
2563,ZNF266
2564,ZNF334
2565,ZNF366
2566,ZNF367
2567,ZNF385A
2568,ZNF385D
2569,ZNF469
2570,ZNF503
2571,ZNF521
2572,ZNF600
2573,ZNF683
2574,ZNF69
2575,ZNF703
2576,ZNF704
2577,ZNF708
2578,ZNF711
2579,ZNF831
2580,ZNF836
2581,ZNRF1
2582,ZWINT
2583,ZYX
